name,brand,type,description,controls,price_usd,power,bypass,year_introduced
Big Muff Pi,Electro-Harmonix,Fuzz,"Iconic fuzz pedal known for its thick, sustaining tone. Used by Jimi Hendrix, David Gilmour, and Jack White. Delivers a creamy wall of fuzz that works great for leads and power chords.","Volume, Tone, Sustain",89,9V DC,True Bypass,1969
Tube Screamer TS-9,Ibanez,Overdrive,"The classic mid-boost overdrive that defined blues-rock tone. Famous for pushing tube amps into sweet breakup. Popularized by Stevie Ray Vaughan.","Drive, Tone, Level",99,9V DC,Buffered,1982
Boss DS-1,Boss,Distortion,"One of the best-selling distortion pedals of all time. Provides a hard-clipping distortion ranging from mild crunch to heavy saturation. Used by Kurt Cobain and Joe Satriani.","Tone, Level, Dist",59,9V DC,Buffered,1978
Klon Centaur,Klon,Overdrive,"Legendary transparent overdrive pedal. Adds gain without coloring your base tone. Original units sell for thousands on the used market. Often called the holy grail of overdrives.","Gain, Treble, Output",5000,9V DC,Buffered,1994
ProCo RAT,ProCo,Distortion,"Versatile distortion pedal capable of everything from light overdrive to heavy fuzz-like saturation. The Filter knob rolls off highs for a thicker sound. A staple on pedalboards since the 80s.","Distortion, Filter, Volume",79,9V DC,True Bypass,1978
MXR Phase 90,MXR,Phaser,"Simple one-knob phaser that produces a warm, swirling modulation. Heard on countless Van Halen recordings. The script logo version is sought after for its smoother, more subtle sweep.","Speed",89,9V DC,Hardwire,1974
Boss DD-3,Boss,Delay,"Digital delay offering up to 800ms of delay time. Clean repeats that sit well in a mix. Three time range modes for short slapback to longer ambient echoes.","Effect Level, Feedback, Delay Time, Mode",119,9V DC,Buffered,1986
Electro-Harmonix Holy Grail,Electro-Harmonix,Reverb,"Lush digital reverb in a compact enclosure. Three modes: Spring (classic amp-style), Hall (spacious room), and Flerb (flanged reverb for experimental textures).","Reverb Level, Mode Switch",149,9V DC,Buffered,2002
Dunlop Cry Baby GCB95,Dunlop,Wah,"The original wah pedal design. A rocker pedal that sweeps a resonant bandpass filter for that classic funk and rock wah sound. Used by Jimi Hendrix, Slash, and Kirk Hammett.","Foot Rocker (sweep range)",89,9V DC,Hardwire,1966
Strymon Timeline,Strymon,Delay,"Premium multi-algorithm digital delay with 12 delay types including tape, analog, ice, and reverse. 200 preset slots, tap tempo, MIDI control, and studio-quality sound.","Time, Repeats, Mix, Filter, Grit, Speed, Depth, Type",449,9V DC 300mA,True Bypass / Buffered,2011
